company,rating,date,title,text,company_reply,user_url,user_num_reviews,user_geo_location
N26,Rated 5 out of 5 stars,2022-06-22T17:51:00.000Z,Great Chat-Support and Banking App,I needed help with my Account because I lost my phone and old number. With Chat-Support I they fixed the problem.,,/users/62b33a531e7f6c00130d230c,1,CH
N26,Rated 1 out of 5 stars,2022-06-22T14:33:55.000Z,The app is totally unusable and I don't trust them with my money,"The app is totally unusable and sadly fully required.,I can't acces the support Chatt over the app and I can't add my MasterCard to Google pay because of the app.,I made the account yesterday and will likely close it later today.,I don't trust this bank with my money untill they fixed their app, then I'd maybe reconsider.",,/users/62b30c2b751d8d00126ca3ca,1,DE
N26,Rated 1 out of 5 stars,2022-06-21T19:47:16.000Z,No Service,I can say that service is absolut not existent. They  Do not read anything what you Tell Them. I have only Costs even it Was not my false. I can Provide the wohle conversation and it Costs me already 130 Euro. Which is unacceptable,"Hi Vanessa,,We're sorry to hear that you are having difficulty resolving an issue. ,If the issue is not resolved we'd be happy to advise you further. We're available on Twitter via @N26_Support, or Instagram via @N26. You can also message us on the N26IT, N26FR, or N26ES Facebook page.,Best regards, Ben, Your N26 support. ",/users/61e426117b18150012a0b206,2,DE
N26,Rated 1 out of 5 stars,2022-06-21T11:45:58.000Z,Poor communication led to forceful account cancellation,Horrible customer experience. They sent my partner an email they're closing his account within 2 months w/o any negotiations possible. Later turned out that before the cancellation n26 sent requests for additional docs via its own messages which are BARELY noticable (he's been using the app for 3 yrs though it has been the 1st time he saw them). So the bank is able send emails they're closing accounts via email but not able to send REALLY IMPORTANT messages via email? And now they're closing my partner's account bc of their poorly designed UI and communication processes 🤡,"Hey,,Thank you for your feedback.,Due to security reasons, documents that contain sensitive information are only requested via Messages in the app in our active accounts.,Every time we send a new message in the app, our customers also receive a reminder via email to inform that there's a new message that can be checked in Support - Messages from N26. ,If it’s not possible to access the app, or if the account is closed, we will always request an explicit authorisation to exchange personal data via email. Alternatively we can also communicate via post. ,We apologise for the inconvenience caused. ,Best Regards, ,Bella - Your N26 Support Team. ",/users/62b19341b5e4a90013ffc829,1,DE
N26,Rated 1 out of 5 stars,2022-06-21T05:00:24.000Z,Closed My Account Because I Didn't Have Occupation Filled Out - Won't Let Me Re-Register.,"Spent alot of time trying to get verified with N26. Finally setup with them and apparently they sent an email that you need to update your occupation. Well I failed to get this email and when I logged in my account was closed all because I didn't fill in my occupation which I was never told I needed to do in the 1st place. ,I tried to re-register and they said they aren't accepting new applications,Conclusion is they took all my personal information and I never was able to use any of the information. ,Would be happy to bump this review up to 5 stars if your team fixes the issue.",,/users/5a35113e0000ff000af1f0be,31,US
N26,Rated 1 out of 5 stars,2022-06-20T22:17:45.000Z,No good company with useless support,"I wanted to create an account and gave out 2 countries where I pay taxes, and they only asked for documents of my second country, although I marked the first one as my current tax residency. They refused my account, entered on chat to explain them that if I wouldn't have been honest and only told them about one country, where I'm a tax resident and I can provide all the documents required, this wouldn't have been a problem. They agreed and said they will reset my account but then it was all useless interactions with their support and their ""robot-like"" people which only know how to send a template reply and close the chat in my face. Probably they will reply to this with a link saying they have to respect some certain rules and that is why my account was rejected, but in my case, they were NEVER able to do that because they NEVER had the documents where I'm a tax resident.",,/users/62b0d485e3738900123794dd,1,ES
N26,Rated 1 out of 5 stars,2022-06-20T19:05:51.000Z,Request for a bank balance document,"The support is really the worst I have ever had to deal with. The support personnel is so incompetent, they are not even able to provide their customer with a bank statement of their (N26) saving account solution EasyFlexSaving.,After several requests for such a bank statement, I continuously received the answer that it is being processed and I will get it shortly. Excuse me, but shortly takes already more than 2 weeks. I am talking about a dumb piece of paper, telling me my current balance!",,/users/62b0a8e62817b80013891f36,1,DE
N26,Rated 5 out of 5 stars,2022-06-20T14:41:38.000Z,Really admire the n26 brand,"Really admire the n26 brand. Works faultlessly. Moved my entire family from Ulster Bank and it was effortless. If you’re looking for a solid bank, here it is.",,/users/62b06af426b86b00137fc10d,1,IE
N26,Rated 1 out of 5 stars,2022-06-20T00:27:46.000Z,Doesn’t support all citizens IDs even if you are in German. They wouldn’t tell you at the beginning of the registration. Ready for the surprise that your application will be rejected,They won’t tell you until you give all your personal details that you are not eligible to open the account. They even need your date of birth even before you open an account. I don’t see a point here. They could have asked your nationality as a first question in their questionnaire.,"Hey,,Thank you for your feedback.,As a regulated bank we are required to verify the identity of every account applicant. You can open an account if you have one of the supported documents by our system here: https://support.n26.com/en-eu/account-and-personal-details/verifying-my-identity/how-to-prove-my-identity. ,Unfortunately we cannot accept all passports and national ID cards due to the lack of security features that appear on some documents.,If your document is not on our current list please stay tuned, as we are always looking to add new documents and update this list on a regular basis. ,We apologise for any disappointment.,Best Regards,,Bella, Your N26 Support Team.",/users/5c1f848ae550e129c9f2f0b6,2,DE
N26,Rated 4 out of 5 stars,2022-06-19T16:36:45.000Z,Customer service tries to help and fix things,"Not as bad as one could assume after reading tons of reviews here. The customer service team really tries their best to get you support. There are shortcomings - definitely! - and there are a lot. But hey, it's still a start up. Deactivated my card for security reasons. This is fine to me, as it is for security. Customer communication in this case wasn't good (I got no info about this) and the customer journeys to resolve my issue wasn't good as well. But this is where the customer support can help. And they are available even on weekends - just give it a try and don't be to German.",,/users/6267fb048011e50012b3a4b9,2,DE
N26,Rated 5 out of 5 stars,2022-06-18T22:39:34.000Z,Amazing and helpful customer service,"I couldn't have access to my account because it had been frozen (accumulated debts while I was in the hospital). Not only did the bank pointed out to me that I cod do something against it, but they resolved my problem in less than a day. Also the employee I spoked to promised me to follow up on my case and contact me the next day. Like promised, I got a message the next day with news. And that on a Saturday! I can only recommand this bank. Employees are beyond helpful and friendly.",,/users/62ae37fc0a6f7400134faa4a,1,DE
N26,Rated 1 out of 5 stars,2022-06-17T23:11:35.000Z,Worst bank ever,"Worst bank ever ! They randomly blocked my husbands account , we have gotten on touch via email and support and all we hear is we should wait ! I understand it’s a routine check , but can a routine check last a month ! This is the most ridiculous bank I have ever come across. I have an account with them as well , but will surely close it down ! Unless u are desperate don’t sign up for this mess ! We don’t even know what will happen to his remaining cash!","Hey Ruthie,,Thank you for your feedback. ,As a licensed bank, we must carry out regular routine compliance checks on accounts. These processes are followed to ensure our user accounts are kept safe and secure.,We will continue this correspondence with the account holder via registered email address in due course.,You may like to read more here:,https://support.n26.com/en-eu/account-and-personal-details/personal-information-and-data/can-n26-close-my-account,  We're sorry for any disappointment. ,  Best Regards,,Bella, Your N26 Support Team",/users/62acedfd3204320015436dbb,1,DE
N26,Rated 4 out of 5 stars,2022-06-17T18:59:52.000Z,The app is alright but I miss to know…,The app is alright but I miss to know how long the process will take,"Hey Karen,,Thank you for your review.,If you'd like to know more about a specific case, we would be more than happy to check this for you.,Please contact us in our social media channels. We're available on Twitter via @N26_Support, or Instagram via @N26. You can also message us on the N26IT, N26FR, or N26ES Facebook page.,Best Regards,,Bella, Your N26 Support Team.",/users/62acb2f65941b00012c67c50,1,DE
N26,Rated 1 out of 5 stars,2022-06-17T17:07:40.000Z,Baddest Customer Journey ever,"Very poor support, agreements made after manual evaluation were not kept. Constantly repeating the situation in the chat. No telephone support and a callback was agreed but ignored.",,/users/5d11f550d6bcfe7fb8b8f578,3,DE
N26,Rated 1 out of 5 stars,2022-06-17T16:19:51.000Z,NEVER PAY 20€ FOR 2-DAY EXPRESS…,NEVER PAY 20€ FOR 2-DAY EXPRESS DELIVERY. They tell you it will take 10 Days and you won't get your money back and can't use the credit card details in the meantime.,,/users/60bf7447d856d4001ac2b3d8,3,DE
N26,Rated 1 out of 5 stars,2022-06-17T15:22:00.000Z,4 weeks with no money,"4 weeks with no money, I try to make a regular transfer, after a week I get system error, so I try to make another transfer and nothing again, I'm waiting another week! technical support gives me hundreds of useless information, they do not even understand that I am making a transfer from their bank to another, talked to 3 different assistants, nobody knows anything, he gets laconic answers that I have to wait another 7 days for the usual transfer, my money is just stuck there, and I have bills to pay, I waste hours on technical support, talks with bot agents, etc., to make an ordinary transfer for 2000 euros, shock the most backward and weird bank in the world, how would it happen in Africa, maybe it would be normal but it German bank in Europe, the mobile application draws after 2 minutes, so every time you talk about your problem, you talk to a new bot, and then a man who is less embraced like a bot, SHOCK and shame",,/users/5faeba76bdde17001afd7cfc,2,PL
N26,Rated 1 out of 5 stars,2022-06-17T13:48:07.000Z,real bad costumer service,real bad costumer service. they can't see former conversations don't keep track of troubleshooting and have no tools to help you. and one costumer service employee says one thing and one says another. very quick with copy and pasting useless faq answeres without understanding the problem in the first place. bad!,"Hey Eileen, ,Thank you for taking the time to leave a review. ,We are sorry to hear the service you received was not up to scratch. ,Please reply to our request here so we can analyse the cases. ,Kind Regards, ,Peter - Your N26 Support Team",/users/62ac69520a6f7400134e9d86,1,DE
N26,Rated 1 out of 5 stars,2022-06-17T11:54:40.000Z,It does not concern me to ask the money back. It is your task. My one time payment two times  charged,"This morning I made a payment through the APP on my device. After filling the form and clicking the confirmation for the payment came out the words, that there was an error an to try again. After some minutes I opened the APP and the payment order was not there anymore. So I filled in the payment again. And again the same thing as before. Error an try again. After that suddenly I found the effected payment, but two times charged to my account.,The assistance told me to get back the money from the receiver. I think this is not correct.","Hey Veit, ,Thank you for taking the time to leave a review. ,We apologise for any issues with the app. ,Should the merchant refuse to return the funds please let us know. We have a process you can read further about here - https://support.n26.com/en-eu/security/transaction-dispute/how-to-dispute-a-transaction,We are also able to open a payment investigation via our live chat. ,Kind Regards, ,Peter - Your N26 ",/users/62ac4054fef3a80012de1539,1,IT
N26,Rated 1 out of 5 stars,2022-06-16T18:06:45.000Z,Personal data leaked from the first transaction,"One of the worst experiences I've ever had!  I set up a bank account with them because my wife recommended it to me and because they have spaces where you can classify your income.  But after the first MasterCard transaction, my data was leaked and the offender stole exactly the amount I had left in my account (via Google Pay ??? when I own a product on iOS.) The money was not returned to me!,I have never seen a bigger bureaucracy in my life.  ,Someone ate ice cream for my money at a cafe in Italy while I was in Germany.  We will also close my wife's bank account and all my friends are already warned!,Was it worth it?  Shame on you!","Hey Nicolae,,Thanks for your feedback. ,Our Chargeback team investigates disputes in line with the Mastercard. ,If your dispute has been declined and you feel that this is incorrect or unfair you can make a formal complaint by emailing the complaints team at complaints@n26.com from your registered email address. Please make sure to include as much detail as possible.,Best Regards,,Bella, Your N26 Support Team.",/users/60e6f81043eca900112476e8,6,DE
N26,Rated 1 out of 5 stars,2022-06-17T12:02:25.000Z,My account has been closed without any…,"My account has been closed without any explanation and my savings is freezed. ,No one is answering and the only thing they are sending out is an email where they explains that they have the right too take my money. This is fraud and I’ve heard about several people with the same problem. ,WARNING FOR THIS BANK! ,They don’t have money so they will steal yours.,Thanks for the answer that says nothing. I have been a costumer since the beginning and I pay my taxes and have done nothing wrong. And it’s a lie that your team answers. It’s not true. They don’t answer and my money isn’t back in my regular bank account. It’s just lies. ,You are not serious and I will warn everyone to use this bank in social media all over the globe.","Hey Tommie,,Thanks for leaving us your review.,As a licensed bank, we must carry out regular routine compliance checks on accounts. On occasion, the result of these compliance checks will indicate that we must terminate our business relationship. ,This compliance process is overseen by a dedicated internal team that will reach out to you via email with further updates. ,You can learn more about why accounts may be blocked or closed here: https://n26.com/en-de/blog/why-does-n26-block-accounts  ,Best Regards,,Bella, Your N26 Support Team. ",/users/5c4df6473712da82fc5d1349,4,SE
